policy_id,policy_name,summary,district,source,detail_url,정책 유형,주관 기관,정책 소개,지원 내용,사업운영기간,사업신청기간,지원규모,관련 사이트,연령,학력,전공요건,취업상태,특화분야 요건,추가단서 사항,참여제한 대상,신청절차,심사 및 발표,제출서류,신청 사이트,기타사항,운영기관,참고 사이트 Ⅰ,참고 사이트 Ⅱ
20250522005400210867,청년 1인가구 소셜다이닝 건강한 밥상,ㅇ 청년 1인가구 맞춤형 요리교실 및 소통프로그램을 통해 건강한 식생활 회복 및 사회적 관계망 형성 지원,,서울시,https://youth.seoul.go.kr/infoData/plcyInfo/view.do?plcyBizId=20250522005400210867&tabKind=001,복지.문화,돌봄고독정책관,ㅇ 청년 1인가구 맞춤형 요리교실 및 소통프로그램을 통해 건강한 식생활 회복 및 사회적 관계망 형성 지원,"ㅇ 사업 근거
- 서울시 사회적 가족도시 구현을 위한 1인가구 지원 기본조례 제11조
ㅇ 추진 경과
- 2023년 건강한 밥상 시범 운영, 5개 자치구 총 624명 참여
- 2024년 건강한 밥상 운영, 5개 자치구 총 653명 참여
ㅇ 사업 기간 : ‘23. 4 ~ 계속
ㅇ 사업 대상 : 서울시 청년(19~39세) 1인가구
ㅇ 사업 내용 : 청년 1인가구 맞춤형 요리교실 및 소통프로그램 운영
ㅇ 사 업 비  : 102백만원(시비 100%)",,20250301 ~ 20250331,0,,만 19세 ~ 만 39세,제한없음,제한없음,제한없음,기타,1인가구,,,,,,,,,
20250522005400210864,청년내일저축계좌(근로능력 있는 수급자의 탈수급 지원),ㅇ 일하는 저소득 근로 청년이 자활에 필요한 자산을 형성할 수 있도록 재정적으로 지원하는 사업,,서울시,https://youth.seoul.go.kr/infoData/plcyInfo/view.do?plcyBizId=20250522005400210864&tabKind=001,복지.문화,복지기획관,ㅇ 일하는 저소득 근로 청년이 자활에 필요한 자산을 형성할 수 있도록 재정적으로 지원하는 사업,"ㅇ (사업 근거)
- 국민기초생활 보장법 제18조의8(자산형성 지원)
ㅇ (추진 경과)
- 2018년 청년희망키움통장 도입
- 2020년 청년저축계좌 도입
- 2022년 청년내일저축계좌 사업 개편
(청년희망키움통장, 청년저축계좌 ⇒ 청년내일저축계좌)
ㅇ (사업 기간)
- 2025년 1월 ~ 12월 시행
ㅇ (사업 대상)
- 기준 중위소득 50% 이하,  15세 이상 ~ 39세 이하
- 기준 중위소득 50%초과 ~ 100%이하, 19세 이상 ~ 34세 이하
ㅇ (사업 내용)
- 차상위 이하(수급자 포함)
‣ 본인저축액 : 월 10만원 이상 자율저축 (10만원 ~ 50만원까지)
‣ 정부지원액 : 30만원 (3년 평균 적립액 : 1,440만원+이자)
- 차상위 초과
‣ 본인저축액 : 월 10만원 이상 자율저축 (10만원 ~ 50만원까지)
‣ 정부지원액 : 10만원 (3년 평균 적립액 : 720만원+이자)
ㅇ (사업비) 88,221백만원 (국비 60,151, 지방비 28,070) ※ 매칭비율 60:28:12
- 청년내일저축계좌 81,286백만원 (국비 55,422 지방비 25,864)",,20250401 ~ 20250430,0,,만 15세 ~ 만 39세,제한없음,제한없음,재직자,제한없음,,,,,,,,,,
20250519005400210858,가족돌봄청년을 위한 사회서비스 지원,ㅇ 가족돌봄이라는 막중한 책임을 지고 있는 가족돌봄청년들의 돌봄부담을 경감하고 본인의 미래를 준비할 수 있도록 지원,,서울시,https://youth.seoul.go.kr/infoData/plcyInfo/view.do?plcyBizId=20250519005400210858&tabKind=001,복지.문화,복지기획관,ㅇ 가족돌봄이라는 막중한 책임을 지고 있는 가족돌봄청년들의 돌봄부담을 경감하고 본인의 미래를 준비할 수 있도록 지원,"ㅇ 사업 근거
-「서울특별시 가족돌봄청년 지원에 관한 조례」
ㅇ 추진 경과
- 서울시 가족돌봄청년 실태조사 추진계획 수립 (’22.7)
- 서울시 가족돌봄청년 실태조사 실시 (’22.10.~’23.3.)
- 서울시 가족돌봄청년 시범사업 자문단 운영 (’22.11.~’23.7.)
- 서울시 가족돌봄청년 지원계획 수립 (’23.8.)
- 서울시 가족돌봄청년 지원 전담기구 운영 (서울시복지재단, ’23.8.~)
- 공공·민간기관* 가족돌봄청년 후원·연계 협약 (’23.8.~)
* 한국토지주택공사, 주식회사 365mc, 초록우산, 희망친구기아대책, 효림의료재단, KMI 의료재단, 서울특별시사회복지협의회
- 자치구 협력체계 구축을 통한 가족돌봄청년 발굴 추진 (’24.5.~)
ㅇ 사업 기간 : 2025. 1. ~
ㅇ 사업 대상 : 가족돌봄청년        ※ 소득 무관하며, 그 외 조건 없음
- 서울시에 거주하며 장애, 신체 및 정신의 질병 등으로 도움이 필요한 가족을 돌보고 있는 9세~34세 이하의 가족돌봄청년
ㅇ 사업 내용
- 장애, 신체·정신의 질병 등으로 도움이 필요한 가족을 돌보고 있는 가족돌봄청년들에게 맞춤형 상담 실시, 정책정보 제공 및 서비스 연계
ㅇ 사 업 비 : 해당없음",,20250401 ~ 20250430,0,,만 9세 ~ 만 34세,제한없음,제한없음,제한없음,기타,,,,,,,,,,
20250519005400210857,청년 부상 제대군인 상담센터 운영,"ㅇ 19세~39세 청년 부상 제대군인 및 보훈대상자 대상, 건강한 삶과 공정한 사회진출 지원",,서울시,https://youth.seoul.go.kr/infoData/plcyInfo/view.do?plcyBizId=20250519005400210857&tabKind=001,복지.문화,복지기획관,"ㅇ 19세~39세 청년 부상 제대군인 및 보훈대상자 대상, 건강한 삶과 공정한 사회진출 지원","ㅇ 사업 근거
- 「국가보훈 기본법」제5조(국가와 지방자치단체의 책무)
- 「서울특별시 국가보훈대상자 예우 및 지원에 관한 조례」 제3조(책무)
- 「서울특별시 청년 장해 제대군인 지원에 관한 조례」
ㅇ 추진 경과
- 시장님-청년유공자 현충원 참배                     : 2021.6.25.
- 부상군인 및 청년유공자 애로사항 청취             : 2021.9.24.
- 전문가 자문, 보훈청 의견수렴(3회)                 : 2021.9월~10월
- 서울시 청년 부상제대군인 지원계획 수립           : 2021.11.19.
- 서울시 청년 부상제대군인 상담센터 개소           : 2022. 3. 25.
- 서울시 청년장해제대군인 지원에 관한 조례 제정    : 2022.10.17.
ㅇ 사업 기간 : 2022. 3월~ 계속
ㅇ 사업 대상 : 2,000여명  ※ 청년 보훈대상자 기준
-19세~39세 청년 부상 제대군인, 국가보훈대상자
ㅇ 사업 내용
- 청년 부상 제대군인·보훈대상자 대상, 건강한 삶·공정한 사회진출 지원
- 지원사업 내용
ㅇ 사업비 435백만원 (시비 435백만원)",,20250101 ~ 20250331,0,,만 19세 ~ 만 39세,제한없음,제한없음,제한없음,기타,,,,,,,,,,
20250519005400210853,학자금 대출이자 지원사업,ㅇ 고비용의 대학(원) 등록금 학자금대출로 인해 부채 문제에 직면한 청년들에게 학자금 대출이자를 지원하여 청년 부채 문제 경감 도모,,서울시,https://youth.seoul.go.kr/infoData/plcyInfo/view.do?plcyBizId=20250519005400210853&tabKind=001,복지.문화,청년사업담당관,ㅇ 고비용의 대학(원) 등록금 학자금대출로 인해 부채 문제에 직면한 청년들에게 학자금 대출이자를 지원하여 청년 부채 문제 경감 도모,"ㅇ 사업 근거
- 한국장학재단 설립 등에 관한 법률
- 서울특별시 대학생 학자금대출 이자지원에 관한 조례 및 시행규칙
ㅇ 추진 경과
- 서울특별시 대학생 학자금대출 이자지원에 관한 조례 제정(‘12.1.)
- 서울시-한국장학재단 학자금대출 이자지원 업무협약 체결(‘12.1.)
- 지원 대상자 대학원생까지 확대(‘20.10.)
- 지원 대상 다자녀의 범위를 3자녀에서 2자녀로 확대(’23.8.)
ㅇ 사업 기간 : ’12. 1. ~ (계속)
ㅇ 사업 대상 : 한국장학재단에서 학자금 대출을 받은 사람 중 대학(원) 재학생․휴학생 및 졸업 후 5년 이내 서울시 거주자
- (연령 기준) 연령 무관
- (소득 기준) 소득 8분위 이하
- (기타 조건) 소득 7분위 이하 및 다자녀가구는 우선 전액 지원
ㅇ 사업 내용 : 한국장학재단 대학(원)생 학자금대출에 대해 학기별(상․하반기 연2회) 기 발생한 이자액을 사후 지원(원리금에서 차감)
ㅇ 사업비 : 3,685백만원 (지방비 100%)",,20250801 ~ 20250911,0,,제한없음,,제한없음,제한없음,제한없음,소득 7분위 이하 및 다자녀가구는 우선 전액 지원,,청년몽땅정보통 홈페이지(https://youth.seoul.go.kr) 통해 온라인 신청,2025. 12월 말(예정),"[필수] 재학 또는 졸업증명서, [선택] 가족관계증명서(다자녀)",https://youth.seoul.go.kr,"① 본인 외의 자가 신청하는 경우 : 주민등록등본 또는 초본 제출
② 한국장학재단 홈페이지 內 등록정보 최신화 요청
- 본 사업 지원 신청 시에 개명 여부 및 연락처 등 정보 최신화 필요
(최신화 경로 : 한국장학재단 홈페이지>마이페이지>서비스이용자정보 수정 / 개명의 경우 : 콜센터(1599-2000)에 별도 연락 필요)
문의처 : 120 다산콜센터(02-120)",서울특별시, https://youth.seoul.go.kr/youthConts.do?key=2310100074&sc_pbancSeCd=002&sc_bbsStngSn=2212200001&sc_bbsCtgrySn=2310200003&sc_qnaCtgryCd=&sc_faqCtgryCd=006,
20250519005400210850,서울 청년수당,ㅇ 미취업 청년이 진로 탐색 및 목표 달성에 집중할 수 있도록 금전적 지원과 성장 지원을 통해 사회안전망 제공,,서울시,https://youth.seoul.go.kr/infoData/plcyInfo/view.do?plcyBizId=20250519005400210850&tabKind=001,복지.문화,청년사업담당관,ㅇ 미취업 청년이 진로 탐색 및 목표 달성에 집중할 수 있도록 금전적 지원과 성장 지원을 통해 사회안전망 제공,"ㅇ (사업 근거)
- 「청년기본법」제3조(정의) 및 제4조(국가와 지방자치단체의 책무)
- 「서울특별시 청년기본조례」제10조(청년의 참여 확대 등)
ㅇ (사업 기간) ’25년 1월 ~ ’25년 12월
ㅇ (사업 대상) 최종학력(중퇴·제적·수료) 졸업 후 서울시 거주 미취업* 청년
* 주30시간 이하 또는 3개월 이하 단기근로자는 미취업자로 간주
- (연령 기준) 19세 ~ 34세
- (소득 기준) 중위소득 150% 이하  ※ 단, 기초생활수급자 및 차상위계층 제외
- (기타 조건) 동일기간 정부 및 지자체 유사사업 중복참여 금지
ㅇ (사업 내용) 금전적 지원 및 성장 지원
- (금전적 지원) 매월 50만원×최대 6개월간 지급  ※ 생애 1회 지원
- (성장 지원) 진로 구체화, 자존감 회복 등 미취업 청년 지원 제공
ㅇ (사업비) 60,297백만원 (지방비 60,297백만원)",,20250301 ~ 20250331,0,,만 19세 ~ 만 34세,,제한없음,미취업자,기타,,,,,,,,,,
20250404005400210690,서울 동아리ON(대학생 동아리 사회 기여 활동 지원) 사업,서울시 대학생 동아리를 대상으로 사회 기여 활동을 위한 활동비를 지원하여 동아리 활동 활성화를 통한 사회적 관계 회복과 함께 지역 사회 문제 해결에 기여할 수 있도록 지원하는 사업,,서울시,https://youth.seoul.go.kr/infoData/plcyInfo/view.do?plcyBizId=20250404005400210690&tabKind=001,참여.권리,서울특별시,서울시 대학생 동아리를 대상으로 사회 기여 활동을 위한 활동비를 지원하여 동아리 활동 활성화를 통한 사회적 관계 회복과 함께 지역 사회 문제 해결에 기여할 수 있도록 지원하는 사업,"□ 모집 대상
ㅇ 지원대상 : 서울 소재 대학 소속 동아리(최대 200개)
- 대학 학부생 10명 이상으로 구성된 중앙동아리 또는 단과대학·학과동아리 등
- 타 대학과 연합(5개교 이상 참여)하여 구성한 동아리
ㅇ 지원제외
- 동일 유사사업으로 국가, 지방자치단체, 공공기관 등으로부터 국비·시비·구비 등을 지원받고 있거나 지원받을 예정인 동아리
- 공고일 기준 설립 6개월 미만 동아리
□ 지원 내용
ㅇ 사회 기여 참여 동아리 활동비 최대 200만원
※ 연합동아리의 경우 최대 500만원 지원
□ 활동 개요
ㅇ 활동기간 : 2025. 5월 ~ 11월
ㅇ 활동장소 : 서울시 내
ㅇ 활동내용 : 서울 시정가치(동행·매력)와 연계된 사회 기여 활동
□ 신청 방법
ㅇ 신청기간 : 2025. 3. 12.(수) 10:00 ∼ 4. 25.(금) 18:00 [45일 간]
ㅇ 신청방법 : 이메일 접수(서울시 청년정책담당관)
- 접수처 : jina7900@seoul.go.kr, kim6521954@seoul.go.kr
□ 문의사항
ㅇ 문의처 : 서울시 미래청년기획관 청년정책담당관(02-2133-6588/4328)",,20250312 ~ 20250425,"ㅇ 사회 기여 참여 동아리 활동비 최대 200만원
※ 연합동아리의 경우 최대 500만원 지원",,만 0세 ~ 만 0세,대학 재학,제한없음,제한없음,기타,동아리 활동과 관련해서 다른 기관에서 지원 받은 것이 있으면 제한될 수 있음,,"ㅇ 이메일 접수(서울시 청년정책담당관)
- 접수처 : jina7900@seoul.go.kr, kim6521954@seoul.go.kr",,,,,서울시 미래청년기획관 청년정책담당관 (02-2133-6588/4328),https://news.seoul.go.kr/gov/archives/566450,https://youth.seoul.go.kr/youthConts.do?key=2503190001&sc_pbancSeCd=027&sc_bbsStngSn=2212200001&sc_bbsCtgrySn=2503180018&sc_faqCtgryCd=099
V202500050,2025 청년예술청 운영,청년예술인의 예술생태계 안착 지원 및 창작·교육·교류 활성화를 위한 ‘청년예술인 종합지원 플랫폼’ 운영,,서울시,https://youth.seoul.go.kr/infoData/plcyInfo/view.do?plcyBizId=V202500050&tabKind=001,교육,서울시,청년예술인의 예술생태계 안착 지원 및 창작·교육·교류 활성화를 위한 ‘청년예술인 종합지원 플랫폼’ 운영,"1) 청년예술인 창업지원 프로그램 운영
2) 청년예술인 커뮤니티 사업 운영
3) 공간 및 대관 운영",2025,2025,,,만 19~39세,,,,,,,,,,,,서울시,,
V202500049,2025 서울청년문화패스,사회에 첫발을 내딛는 청년에게 공연 및 전시를 관람할 수 있는 문화이용권(바우처)을 지급하여 청년의 문화권 향상 및 문화예술계 활성화 도모,,서울시,https://youth.seoul.go.kr/infoData/plcyInfo/view.do?plcyBizId=V202500049&tabKind=001,복지.문화,서울특별시 문화정책과,사회에 첫발을 내딛는 청년에게 공연 및 전시를 관람할 수 있는 문화이용권(바우처)을 지급하여 청년의 문화권 향상 및 문화예술계 활성화 도모,"공연과 전시 관람에 사용할 수 있는 1인당 최대 20만원 상당의 문화이용권(바우처) 지급
- (관람분야) 공연(연극, 뮤지컬, 클래식, 오페라, 무용, 국악) 및 전시
- (관람방법) 서울청년문화패스 전용 홈페이지에서 예매 후 관람
- (예매기준) 예매 건당 7만원 이내 사용",,"2025.2월, 8월","약 19,000명",,20세~23세 청년(2002~2005년생),제한없음,제한없음,제한없음,제한없음,"- 연령 : 20~23세 (제대군인의 경우 복무기간에 따라 최대 3년 이내 연령 가산)
- 거주지 : 신청일 기준 주민등록/외국인등록대장 기준 서울 거주
- 소득 : 신청일 기준 건강보험료 본인부담금 기준 중위소득 150% 이하
※신청시 제공한 주민등록번호(외국인등록번호)와 ‘개인정보 수집·이용 및 제3자 제공 동의’에 따라 모집 마감 후 공공마이데이터 또는 국민건강보험공단에 조회
※신청자가 지역 세대원 또는 직장 피부양자인 경우 부양자 부과액 기준
※가구원수는 건강보험에 함께 등재된 사람을 기준으로 산정",,"청년몽땅정보통(youth.seoul.go.kr)에서 온라인 신청
ㅇ 청년몽땅정보통 → 교육문화 → 서울청년문화패스 → 신청하기
□ 신청 시 필수 입력 정보(주민등록 또는 외국인등록대장 기준)
ㅇ 이름, 성별, 주소, 연락처(휴대전화, 이메일)
ㅇ 주민등록번호(외국인등록번호)
※ 입력 정보가 실제와 다를 경우 선정이 취소될 수 있음
□ 동의서 작성(필수) : 개인정보 수집·이용, 고유식별정보 처리, 제3자 제공, 본인 행정정보 제공 요구서 동의
ㅇ 수집정보 : 성명, 주민등록번호, 휴대전화(연락처), 이메일, 성별, 주소, 건강보험 관련 정보, 병역 관련 정보
ㅇ 활 용 : 행정정보 공동이용 비대면 자격확인 서비스를 활용하여 신청 시 나이, 거주지 즉시 확인 및 공공마이데이터 활용을 통한 건강보험료 확인","□발표일 : 청년몽땅정보통 공지사항에 자세한 접수 일정 참고
□발표방법 : 선정자 개별 문자 발송 및 청년몽땅정보통 ‘마이페이지’ 확인",별도 제출서류 없음,https://youth.seoul.go.kr/youthConts.do?key=2310200023&sc_pbancSeCd=005&sc_bbsStngSn=2212200001&sc_bbsCtgrySn=2310200005&sc_qnaCtgryCd=&sc_faqCtgryCd=002,콜센터 ☎1533-3427[평일 업무시간(9~12시/13~18시) 이용가능],서울특별시,https://www.youthcultureseoul.kr,
V202500041,2025 청년 골목창업 지원,"ㅇ 청년창업 지원을 통한 혁신적인 청년 사업가 양성
ㅇ 지속가능한 골목창업환경 조성을 통한 지역경제 활성화",,서울시,https://youth.seoul.go.kr/infoData/plcyInfo/view.do?plcyBizId=V202500041&tabKind=001,일자리,서울특별시 소상공인정책과,"ㅇ 청년창업 지원을 통한 혁신적인 청년 사업가 양성
ㅇ 지속가능한 골목창업환경 조성을 통한 지역경제 활성화","- (이론교육) 상권분석, 임대차계약, 마케팅, 위생관리 등 창업 및 경영에 필수적인 주제별 강의 실시
- (실습교육) 전문가 1:1 코칭으로 레시피 개발 지원 및 품평회를 통한 실습 결과물 평가, 보완기회 제공
- (멘 토 링) 선배 사업가 멘토풀 활용, 경영 노하우 전수
- (사후관리) 창업 전후 컨설팅, 홍보 마케팅, 창업자금 최대 7천만원 융자지원",,"2025.3.1. ~ 2025.3.31., 2025.8.1. ~ 2025.8.31.",60,,만 19~39세,,,,,ㅇ 연령 : 만 19세~만 39세(※ 의무복무 제대군인 복무기간 최대 3년 가산),,"상반기 : 신청마감
하반기 : 7월 말 ~ 8월 말 예정",,,https://youth.seoul.go.kr/content.do?key=2310100025,,서울특별시 소상공인정책과,https://youth.seoul.go.kr,
V202500039,2025 청년쿡 비즈니스센터 운영,청년 푸드산업 스타트업 창업 활성화를 위한 성장 기반 마련,,서울시,https://youth.seoul.go.kr/infoData/plcyInfo/view.do?plcyBizId=V202500039&tabKind=001,일자리,서울특별시 청년사업담당관,청년 푸드산업 스타트업 창업 활성화를 위한 성장 기반 마련,푸드산업 청년 스타트업 성장을 위한 프로그램 지원,2025.1월~12월,2025.1월~12월,"총 20개사 (입주 10개사, 비입주 10개사)",,만 19~39세,,,,,,,,,,https://youth.seoul.go.kr/content.do?key=2310100028,,,https://youth.seoul.go.kr,
V202500030,2025 학자금대출 신용회복(신용유의자 해제) 지원사업,학자금 대출로 신용유의자가 되어 사회진입에 어려움을 겪는 청년들에게 신용회복 지원함으로써 건강한 금융생활 도모,,서울시,https://youth.seoul.go.kr/infoData/plcyInfo/view.do?plcyBizId=V202500030&tabKind=001,복지.문화,서울특별시 미래청년기획관,학자금 대출로 신용유의자가 되어 사회진입에 어려움을 겪는 청년들에게 신용회복 지원함으로써 건강한 금융생활 도모,"- (서울시) 분할상환약정 체결을 위한 ‘초입금 지원’(채무금액의 5%)
- (한국장학재단) 분할상환약정 체결을 통한 신용유의자 등록 해제",,2025.02.10. 10:00 ~ 2025.10.24. 18:00,300명,,"만 19세 ~ 39세 (※ 단, 제대군인의 경우, 군복무기간에 따라 최대 42세까지 지원 가능)",,,,,,"2017년~2024년 중  동 사업을 지원받았거나, 타지자체·기관에서 유사한 지원을 받은 사람은 2025년 지원대상에서 제외됨.",청년몽땅정보통에서 온라인 접수,2월부터 월 1~2회 수시 심사 및 결과 안내,"※ 원칙적으로 별도 서류 제출이 불필요하나, 만 40~42세인 제대군인의 병역기간 확인이 되지 않을 경우, '병적증명서' 또는 '주민등록초본'을 반드시 첨부해야 함.",https://youth.seoul.go.kr/youthConts.do?key=2310100075&sc_pbancSeCd=001&sc_bbsStngSn=2212200001&sc_bbsCtgrySn=2310200002&sc_qnaCtgryCd=&sc_faqCtgryCd=007,"- 신용유의자 등록 여부는 신청 전 본인이 직접 한국장학재단 신용회복지원상담센터(1599-2250)에서 확인해야 함.
- 문의 : 다산콜센터  ☎ 120",서울시 미래청년기획관,https://mediahub.seoul.go.kr/archives/2010129,
V202500029,2025 학자금 대출이자 지원사업,고비용의 대학(원) 등록금 학자금대출로 인해 부채 문제에 직면한 청년들에게 학자금 대출이자를 지원하여 청년 부채 문제 경감 도모,,서울시,https://youth.seoul.go.kr/infoData/plcyInfo/view.do?plcyBizId=V202500029&tabKind=001,복지.문화,서울특별시 미래청년기획관,고비용의 대학(원) 등록금 학자금대출로 인해 부채 문제에 직면한 청년들에게 학자금 대출이자를 지원하여 청년 부채 문제 경감 도모,"대학생은 학업에 집중할 수 있도록, 학부모는 가계부담을 덜 수 있도록 학자금 대출이자를 지원하는 사업입니다. 한국장학재단에서 대출받은 학자금의 대출이자를 지원하여 실질적인 상환 부담을 줄이고자 하는 제도입니다.",,2025.8.1.(금) 10:00 ~ 9.11.(목) 18:00,"39,000명",,19세 ~ 39세,,,,,"- 소득7분위 이하의 서울지역 대학(원)생(졸업생은 졸업 후 5년 이내까지 지원 가능)
- 소득8분위 이상은 예산 등을 고려하여 심의위원회 심의를 통해 지원 여부 결정
※ 소득 구간 : 한국장학재단 대출 신청일을 기준으로 하되, 한국장학재단에 소득분위 정보가 없는 경우, 2024년도 소득구간을 기준으로 산정
- 다자녀 가구 대학(원)생은 소득수준 제한 없음",,청년몽땅정보통(https://youth.seoul.go.kr)에서 온라인 접수된 경우만 인정,2025.12월말(예정),"① [필수] 대학(원) 재학 및 졸업증명서 등 재학․졸업 증명 가능 서류
② [선택] 가족관계증명서 (다자녀인 경우만 제출)
③ [예외] 신청자가 ‘본인’이 아닌 경우(신청자≠지원대상) 주민등록등․초본
- 본인이 아닌 부모, 형제자매 등이 신청한 경우 주민등록등·초본 제출 필수
* 신청자가 본인인 경우 개인정보 제3자 제공 동의 시 제출 불필요
④ [예외] 소득분위정보가 없는 경우 건강보험료납부확인서(직장, 지역가입자), 건강보험자격확인서",https://youth.seoul.go.kr,"① 본인 외의 자가 신청하는 경우 : 주민등록등본 또는 초본 제출
② 한국장학재단 홈페이지 內 등록정보 최신화 요청
- 본 사업 지원 신청 시에 개명 여부 및 연락처 등 정보 최신화 필요
► 최신화 경로 : 한국장학재단 홈페이지➔마이페이지➔서비스이용자정보 수정
► 개명의 경우 : 콜센터(1599-2000)에 별도 연락 필요
③ 증빙서류 제출시 “열람용”은 인정 불가, 정식 발급된 서류 제출 요청",서울특별시 미래청년기획관, https://youth.seoul.go.kr/youthConts.do?key=2310100074&sc_pbancSeCd=002&sc_bbsStngSn=2212200001&sc_bbsCtgrySn=2310200003&sc_qnaCtgryCd=&sc_faqCtgryCd=006,
V202500013,2025 서울 청년 마음건강 지원사업,"서울시에 거주하고 있는 만19세~39세 청년의 마음건강을 지원합니다.
(*의무복무 제대군인의 경우, 군 복무기간에 따라 최대 3년 연장 지원)
기본 6회기 (1회기 당 50분) 자기이해 상담을 진행하면서, 심리상담 전문가와 함께 마음을 돌아보세요.
간이정신진단검사(KSCL95), 기질 및 성격검사(TCI) 등을 통해 더욱 체계적인 맞춤상담을 제공합니다.
* 검진결과에 따라, 개인에게 추가로 지원되는 심리서비스는 다를 수 있습니다.",,서울시,https://youth.seoul.go.kr/infoData/plcyInfo/view.do?plcyBizId=V202500013&tabKind=001,복지.문화,서울시,"서울시에 거주하고 있는 만19세~39세 청년의 마음건강을 지원합니다.
(*의무복무 제대군인의 경우, 군 복무기간에 따라 최대 3년 연장 지원)
기본 6회기 (1회기 당 50분) 자기이해 상담을 진행하면서, 심리상담 전문가와 함께 마음을 돌아보세요.
간이정신진단검사(KSCL95), 기질 및 성격검사(TCI) 등을 통해 더욱 체계적인 맞춤상담을 제공합니다.
* 검진결과에 따라, 개인에게 추가로 지원되는 심리서비스는 다를 수 있습니다.",ㅇ 우울·불안 등 정서적 어려움을 겪는 청년의 마음건강 회복,2025,2025년 4월 14일(월) 10시 ~ 4월 17일(목) 17시,"정서적 지원이 필요한 서울 거주 청년 11,000명",,만 19세~39세(1985년생~2006년생),,,,,,"신청자격
- 신청일 기준 서울시에 거주하고
- 연령 조건을 충족하는 자","- 총 4차(1월, 4월, 6월, 9월)에 걸쳐 참여자를 모집하며, 연도내 중복참여는 불가합니다.
※ 구체적인 일정은 향후 안내드릴 예정이며 회차별 상담진행에 따라 달라질 수 있습니다.",,,,,서울시,https://youth.seoul.go.kr/youthConts.do?key=2310100076&sc_pbancSeCd=009&sc_bbsStngSn=2212200001&sc_bbsCtgrySn=2310200008&sc_qnaCtgryCd=&sc_faqCtgryCd=010&sc_hwStngSn=2501030001&sc_hwCtgrySn=0,
V202500028,2025 희망두배 청년통장,"- 근로하는 청년이 목돈 마련을 통해 경제적으로 자립하고 구체적인 미래계획을 수립하여, 희망한 미래를 열어갈 수 있도록 지원하는 자산형성지원사업입니다. 
- 본 통장에 가입한 후 2년 또는 3년간 매월 15만원의 금액을 저축하게 되며, 저축한 금액과 동일한 금액을 서울시 예산과 시민후원금으로 추가 적립하여 지원합니다.",,서울시,https://youth.seoul.go.kr/infoData/plcyInfo/view.do?plcyBizId=V202500028&tabKind=001,복지.문화,서울시 돌봄복지과,"- 근로하는 청년이 목돈 마련을 통해 경제적으로 자립하고 구체적인 미래계획을 수립하여, 희망한 미래를 열어갈 수 있도록 지원하는 자산형성지원사업입니다.
- 본 통장에 가입한 후 2년 또는 3년간 매월 15만원의 금액을 저축하게 되며, 저축한 금액과 동일한 금액을 서울시 예산과 시민후원금으로 추가 적립하여 지원합니다.","○ 지원내용
- 본인저축액 : 월 15만원
- 매칭지원액 : 본인저축액과 동일한 금액 매월 적립
- 약정기간 : 24개월(2년) 또는 36개월(3년) 중 선택
- 적립금 총액 : [15만원·2년] 총 720만원, [15만원·3년] 총 1,080만원
- 저축방법 : 매월 자동이체
- 매칭금액 지원기관 : 서울시, 서울사회복지공동모금회 등",,2025. 6. 9.(월) ~ 6. 20.(금) 18:00 ※ 신청기간 외 접수 불가,"18세 ~ 34세 이하 청년 10,000명",,18세 ~ 34세,,,,,"-본인소득 : 세전 월 255만원 이하
-부양의무자: 고소득(1억원), 고재산(9억원) 미만","- 적립기간 동안 서울시 연속 거주
- 적립기간의 50% 이상 저축
- 적립기간의 50% 이상 근로 (만기 시 근로 증빙 필수)
- 적립기간 동안 금융교육 연 1회 이상 이수
- 기타 약정 내용을 위반하지 않고 성실히 이행",,,,,,서울시,https://account.welfare.seoul.kr/web/main/index.lp,
V202500027,2025 서울 영테크 지원사업,"자산형성이 어려운 청년에게, 효과적이고, 체계적인 맞춤형 재무상담과 금융교육을 제공하여 경제적 자립을 지원하는 사업입니다.",,서울시,https://youth.seoul.go.kr/infoData/plcyInfo/view.do?plcyBizId=V202500027&tabKind=001,복지.문화,서울시  청년사업담당관,"자산형성이 어려운 청년에게, 효과적이고, 체계적인 맞춤형 재무상담과 금융교육을 제공하여 경제적 자립을 지원하는 사업입니다.","1) 서울 영테크 재무상담
- 1:1 재무 상담(재무 진단, 소득 및 지출 관리, 투자 상담 등) 무료 제공
2) 서울 영테크 클래스
- 내용 : 9개 금융교육과정 운영(재무 설계, 경제 상식, 신용 관리, 세금 설계, 금융 사기, 보험 분석, 청년 투자, 부동산, 은퇴 설계)",특정기간,-,-,,19세 ~ 39세,,,,,"1) 서울 영테크 재무 상담 : 맞춤형 재무상담 (무료)
- 신청기간 : 수시접수
- 상담범위 : 재무진단, 소득지출관리, 투자상담, 금융상품분석, 신용부채관리 등
- (혼합상담) 대면상담과 화상, 전화 등 비대면상담을 혼합하여 진행
- (비대면상담) 화상, 전화, 이메일 등 비대면으로만 상담 진행
2) 서울 영테크 클래스  : 청년 맞춤형 금융교육과정 매주 운영
- 신청기간 매월 1, 2주 교육 : 전월 15~20일 신청접수, 매월 3, 4주 교육 : 당월 1~6일 신청접수
- 교육주제 : 재무설계, 경제상식, 신용관리, 세금설계, 금융사기, 청년투자 등 9개 분야",,,,,,,서울시,https://youth.seoul.go.kr/youngtech/main,
